benchmark,Kissat_MAB_CoRephase,,,,,Kissat-MAB-rephasing,,,
,arm1(BWO),arm2(BWI),arm3(BWC),arm4(BWF),,arm1(B),arm2(I),arm3(O),arm4(W)
004b0f451f7d96f6a572e9e76360f51a-spg_420_280.cnf,1,1,1,1,,2,4,3,3
008e7716c69009090ff6bd0048dc55f8-SAT_dat.k10.cnf,5,4,5,5,,6,8,6,6
00a981f385cd209d41e1efa1f5f29bac-ibm-2004-03-k70.cnf,1,0,0,0,,2,2,2,1
00b46ace235e3915a439c77a231a5657-TableSymModel_output_7_3_9.bul_.dimacs.cnf,38,35,37,36,,14,143,12,14
00bb0b4ef28ed38c49de4c54b9fabc4d-25_2.cnf,16,17,17,16,,12,36,15,29
00f2eb377986e7decbc863931680a3b2-rand_net70-40-10.shuffled.cnf,1,1,1,1,,2,5,2,2
00f4aca773e5675f35263dcd46b15bde-vmpc_28.shuffled-as.sat05-1957.cnf,4,4,4,4,,5,6,5,5
017ba03ed108f492c9293c7c95e5cae9-multiplier_14bits__miter_14.cnf,20,20,20,21,,23,35,19,23
0191a0bf3412ed407ba669f8d69081ee-mrpp_6x6#18_20.cnf,2,2,2,2,,3,9,4,4
01966a0fc52b2200a13f5f835275a919-SGI_30_70_27_50_3-dir.shuffled-as.sat03-169.cnf,17,18,17,17,,21,26,22,25
01bd0865ab694bc71d80b7d285d5777d-shuffling-2-s1480152728-of-bench-sat04-434.used-as.sat04-711.cnf,1,1,0,0,,2,2,2,2
01dd5feb463fa80f73809718f6ff735b-10pipe_q0_k.cnf,9,10,9,9,,11,13,13,12
02066c116dbacc40ec5cca2067db26c0-mrpp_4x4#12_12.cnf,1,1,2,2,,4,4,4,4
028d0cc7af63e9bba5795f20e24db4f6-pyhala-braun-sat-35-4-04.shuffled.cnf,1,0,0,0,,1,1,1,0
0297c2a35f116ffd5382aea5b421e6df-Urquhart-s3-b3.shuffled-as.sat03-1556.cnf,2,4,3,3,,2,6,28,5
02c6fe8483e4f4474b7ac9731772535d-ncc_none_7047_6_3_3_0_0_420.cnf,3,3,3,2,,5,6,6,5
0336f81b60baac5b8f481dd3c32861a5-mod4block_2vars_10gates_u2_autoenc-sc2009.cnf,2,3,3,3,,9,16,11,10
036b541db9d0839b0591d408ff4f77ae-aes_decry_2_rounds.debugged.cnf,3,4,4,4,,7,8,8,7
037c423f56548082b1935e88c48ffdda-3col120_5_2.shuffled.cnf,1,1,0,0,,1,1,1,1
037d21e060a2e3eab8b080aa84ceee75-mm-1x10-10-10-sb.1.shuffled-as.sat03-1489.cnf,1,0,0,0,,2,1,1,1
03a43a7ea55217f53542ed3f029963af-satch2ways16w.cnf,22,20,19,20,,20,28,23,21
03de316ba1e90305471a3b8620cb9cd7-satsgi-n23himBHm26-p0-q248.cnf,1,0,0,0,,1,0,0,0
03e9d1abe418a1727bbf2ead77d69d02-php15-mixed-15percent-blocked.cnf,45,26,38,34,,24,81,12,47
06b138e8a6da806e88ac7da2919cef30-grs-192-32.cnf,4,4,3,4,,7,7,7,7
075ca0a158690a55b7254d9aaee2e103-asconhashv12_opt64_H4_M2-LOD9_m0_2_U19.c.cnf,7,8,8,11,,3,21,3,3
0811f761eee5e4ef28196fd98884a67b-multiplier_13bits__miter_15.cnf,15,14,13,14,,18,23,17,19
08455b2e1e6fda910989f0481a20f1c3-hash_table_find_safety_size_13.cnf,1,0,0,0,,2,1,1,1
090eefb9bc472f6478e70baf2c6d2403-PRP_100_150.cnf,23,24,23,23,,22,40,21,21
0945c95ba9b82c32d12fc9d9e5229c5a-SC23_Timetable_C_473_E_45_Cl_32_D_6_T_50.cnf,23,23,23,24,,27,28,29,27
096ac97e4261eabca440fc7bc135d7c0-SC23_Timetable_C_478_E_50_Cl_32_D_6_T_50.cnf,4,3,3,4,,3,8,4,4
0982db5b0b15642e79e8242881529b39-REGRandom-K4-L3-Seed15.cnf,34,33,34,33,,39,44,39,38
0a279c478775cdeede51ad431aebf200-24_0.cnf,17,18,17,16,,16,35,24,16
0a4ed112f2cdc0a524976a15d1821097-cliquecoloring_n12_k9_c8.cnf,46,43,48,44,,47,59,37,48
0ae0c5a4fb9001d63669a0aa5b592167-multiplier_16bits__miter_19.cnf,16,17,18,18,,22,33,18,19
0be1e12a8e7282d1a4e389bb90f6dbc7-or_randxor_k3_n600_m600.cnf,25,26,26,26,,30,32,32,32
0c9da400944b002f90fd385d4fdab385-DivS_568_11.cnf.sanitized.cnf,1,2,2,2,,4,5,5,5
0d3e99a07b6a6b67ac59d706c0af9d68-grs-32-160.cnf,6,5,6,6,,10,10,10,10
0eb98926b26343d31954169dfbde2b24-satcoin-genesis-UNSAT-11900.cnf,4,4,4,4,,11,11,11,11
0ef0d91d378eab41ba6fb9dfc9b87fc8-sat-bench-trig-taylor4.cnf,3,3,3,3,,7,7,7,6
10196804504080e7107809a2e5b3bfcc-ContextModel_output_6_5_6.bul_.dimacs.cnf,3,2,2,3,,7,15,7,7
112b0ac22b2a567cd3badfed3a5497fd-mchess16-mixed-35percent-blocked.cnf,6,5,4,5,,8,7,6,17
1153a473e1d5dd21ccd33189d594a4aa-tseitin_d3_n10000.cnf,46,47,47,46,,45,45,45,46
11db226d109e82f93aaa3b2604173ff9-posixpath__joinrealpath_13.cnf,46,36,38,38,,24,123,15,28
14a5ff0d6213dcfe182ec656764bbdfb-satcoin-genesis-UNSAT-9080.cnf,5,4,4,4,,11,10,13,11
150b5f8cac40bb4e0fcbdd65c3c04701-PRP_100_550.cnf,21,21,21,22,,24,45,24,23
15a2ec07aaca45d454a2fbfc0624e75e-hash_table_find_safety_size_29.cnf,1,0,0,0,,2,2,1,1
15c53f73c62a78c24bf5974e4a7afcd8-18_1.cnf,16,17,17,17,,10,32,20,25
17039a3ed02ea12653ec5389e56dab50-pbl-00070.shuffled-as.sat05-1324.shuffled-as.sat05-1324.cnf,1,0,0,0,,2,1,1,2
177a4ad8fd76ad8240387998112c3168-SC23_Timetable_C_481_E_49_Cl_32_D_6_T_50.cnf,1,1,1,2,,7,15,7,7
18416a9ac0909dce5fa96345f784c87e-intervals122.cnf,38,38,38,37,,39,45,44,45
189e5991b041a89700513106988e720d-rphp_p20_r20.cnf,38,40,43,40,,4,167,4,6
18babbd2835b8a37c6299f8b0301c7c9-brent_67_0.05.cnf,1,0,0,0,,1,1,1,1
19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf,1,2,2,1,,3,5,4,3
1932e1e8f0c78372759909e45a19ecc7-brent_69_0.3.cnf,1,2,1,1,,2,3,3,3
19c6a29181bee2f3aa03bfb5c5d693d0-brent_9_0.cnf,14,14,14,15,,20,21,21,20
1a20649a8c79d6675d934cec271d573f-tseitin_grid_n100_m100.cnf,86,86,87,86,,68,100,68,68
1a40d2d8c589799a0d267cae03fcd4c5-SCPC-800-40.cnf,4,3,4,3,,5,9,4,10
1a63072b90f88c7fa621b5041f412b79-asconhashv12_opt64_H8_M2-nm2vUdkK_m3_5_U3.c.cnf,3,3,3,6,,7,27,6,4
1a6a635f5b959e191ec705b2f236568a-square.2.0.i.smt2-cvc4.cnf,1,1,0,0,,2,1,1,1
1aa7cd96ab1f7bf58984deccf8362ab4-rand_net50-60-10.shuffled.cnf,1,2,1,1,,2,5,2,3
1b02025658c2a23e1fd3ce0a9c3633cb-asconhashv12_opt64_H8_M2-I61h2mH5_m2_6.c.cnf,2,2,3,5,,3,11,3,24
1b86f59ce4c43f19f0ad1238f8c362b4-PRP_30_37.cnf,2,2,2,2,,4,13,5,4
1ce81dbba1292bf791e194b17aa2a219-satch2ways15u.cnf,19,16,18,16,,20,31,18,25
1d1af993697599892804df5878d58979-brent_69_0.cnf,1,0,0,0,,1,1,1,0
1d42a7c3616ce163e292340cfcd34f97-PRP_100_600.cnf,20,21,20,21,,22,43,23,22
1ea7fe95e6158afe11f7b795b9aac939-REGRandom-K4-L4-Seed10.cnf,14,13,14,13,,23,23,22,27
1eea3d913d346b900252d77fc0cb25c8-par32-4.shuffled.cnf,22,23,22,20,,23,32,35,29
1f215812371f0c428eb1f1e51f9f23d7-20_2.cnf,18,19,19,19,,20,37,26,19
1f6cf91464c6a19022144774b162a3cc-ER_500_30_3.apx_2_DC-ST.cnf,9,7,8,8,,12,14,9,15
20be6aa61af15fd53b4c48eb3f2f3319-27_1.cnf,14,16,16,15,,16,20,26,25
20cae5fe475d571da703f89d5da4bb8f-grs-96-32.cnf,3,3,3,2,,5,6,6,6
211938776d92f11870a687abd11d55a4-iso-icl004.shuffled-as.sat05-3238.cnf,1,0,0,0,,1,0,0,0
21667cf04beae213adbab0d48408a7e4-satcoin-genesis-UNSAT-10600.cnf,4,5,5,5,,10,12,11,11
21bde0ebb111c637a1ae8789827b0b73-WCNF_from_fp_13.cnf,46,38,37,38,,34,86,24,40
220bb8aa093e502c47afcdac3140d67c-vmpc_24.cnf,1,1,0,0,,2,7,2,3
22d0a2fdc65d884c2bbde56af9feba4a-intervals961.cnf,41,41,38,41,,38,44,47,41
23c4e178c94c0dff82ea6c87abed7ecc-rphp_p60_r60.cnf,35,32,34,34,,8,138,5,7
246afd75cb97a21144f368c00252a656-BZ2File_write_11.cnf,31,15,17,18,,8,57,8,21
24b93d0bf941e4b050c9109e4cb7faf4-connm-ue-csp-sat-n600-d-0.02-s1022905465.used-as.sat04-951.cnf,1,0,0,0,,2,3,1,1
24bf910d2b9da558fb3e71a4dbe79ba3-lisa19_99_a.shuffled.cnf,1,1,1,1,,2,5,2,4
2537f10a45d7ab430334dc1de6bfbdf0-SC23_Timetable_C_486_E_50_Cl_33_D_6_T_50.cnf,3,3,3,3,,6,6,6,6
25b7a69d04a5029cf4ba2f483b5bec45-asconhashv12_opt64_H9_M2-LSGb5PgEM_m2_7.c.cnf,1,1,1,4,,3,3,38,3
26114429758a203d651f4df87c94de4c-sgen1-unsat-97-100.cnf.mis-72.debugged.cnf,4,3,3,4,,2,4,11,7
262009b8df6350761c7dfc8761f0af79-intervals788.cnf,41,40,41,39,,35,53,39,43
2722f39c27dc45a989bb52761ed52e50-31_1.cnf,13,13,13,12,,18,19,18,21
275d36e3f246990dccd094e5e1442ba9-WS_500_32_50_10.apx_2_DC-AD.cnf,29,29,29,29,,35,54,29,37
27b4fe4cb0b4e2fd8327209ca5ff352c-grid_10_20.shuffled.cnf,1,0,0,0,,1,1,1,0
28857e681fc6a9077d5a7d0e9c7a19ad-hash_table_find_safety_size_14.cnf,1,0,0,0,,2,1,1,1
28e45a3e488ddac73b6116cc6f3e67e0-g2-T99.2.0.cnf,1,0,0,0,,1,0,0,0
28f29fe949422ec88892e18073de065c-5col100_15_6.shuffled.cnf,1,1,1,1,,2,7,2,3
2902c241b2196f5fd914509fdc124ba7-REGRandom-K4-L2-Seed20.cnf,47,46,47,47,,47,54,47,49
291c2b4fa2d8b009cd2a8331891ba667-PRP_30_40.cnf,2,3,3,3,,4,4,4,4
29505dfcf090c4cfdfb59268160be81d-hash_table_find_safety_size_24.cnf,1,1,0,0,,2,2,2,1
29bab0de14e56e526be9683131005cb2-stb_588_138.apx_2_DS-ST.cnf,6,5,5,5,,3,11,4,4
29e101b66dfddb440e974b9feec5b1aa-spg_200_307.cnf,4,4,4,4,,13,28,13,14
2a144840047376cee3b7b99455158976-goldberg03:hard_eq_check:i10mul.miter.used-as.sat04-333.cnf,2,2,2,2,,4,5,5,5
2a4680a801ad32ab8768030250daf0c8-ER_500_10_5.apx_2_DC-ST.cnf,35,31,32,33,,32,65,26,35
2b3de92685792ae19e4549b5c4571e27-crafted_n12_d6_c4_num4.cnf,2,2,3,3,,10,3,5,4
2b7e863462991fd008f9898eca63ebf4-SC23_Timetable_C_481_E_50_Cl_32_D_6_T_50.cnf,1,1,1,1,,9,9,8,9
2c9dc96b7a8b0410e64dd33f7e00a0c1-30_2.cnf,14,14,14,13,,16,20,21,24
2d0c041c0fe72dc32527bfbf34f63e61-170223547.cnf,6,6,6,7,,4,16,6,7
2e808d215e4155379a847b146ef38b34-goldcrest-and-16.cnf,5,5,5,5,,6,17,7,6
2ef023ae6c46e4415734f9349a36d678-velev-pipe-o-uns-1.0-7.cnf,8,7,7,7,,9,15,10,10
2f219dfa21d996e1834aa247f934f304-grs-192-48.cnf,5,5,6,5,,9,11,8,8
303ba61141150f84b0d8b44839df59fd-REGRandom-K3-L3-Seed10.cnf,58,57,56,57,,53,63,52,55
30e680ded3b9be6be0b5baac273f2646-asconhashv12_opt64_H5_M2-A8qZX_m0_3_U23.c.cnf,3,4,3,6,,3,11,8,14
323223c497a22051f5a3ef508ccbaa7c-SC23_Timetable_C_477_E_50_Cl_32_D_6_T_50.cnf,1,1,1,1,,3,3,4,4
328da7966b09b2f6e99c93c4e877fbff-sgen3-n260-s62321009-sat.cnf,31,31,30,30,,26,46,28,28
339b1cfda231aaca601cd6339c07ca2c-PRP_100_450.cnf,22,22,23,23,,25,46,24,25
33bcf82677b7fdacf18dd48892596a1d-TimetableCNFEncoding_20_UNKNOWN.cnf,3,3,3,4,,5,6,6,6
33cfa309d10e1d4fe30f1302807f42ce-SC23_Timetable_C_482_E_50_Cl_33_D_6_T_50.cnf,4,5,5,5,,10,9,10,9
3498eea73b78ddc444cbee48b121c541-grs-64-160.cnf,8,8,8,8,,12,12,13,13
34e5fd58b65bf305cc773f0dbfb47917-intervals553.cnf,49,41,40,44,,41,54,52,40
358fa8d20aa467c7e9b9bf34f73d1dc9-patat-08-comp-3.cnf,1,1,0,0,,2,1,1,1
35b19a3332597c1e5a3668f75ca72971-SC23_Timetable_C_480_E_50_Cl_32_D_6_T_50.cnf,1,1,1,0,,7,6,6,6
361290e60ab2a8ea9dccfcff65bf0778-satcoin-genesis-UNSAT-9880.cnf,5,6,5,5,,11,11,12,12
3663000b31a5c80922afc6e48322accb-6s165.cnf,1,1,0,0,,2,2,1,1
36c342091848d5d6a1a8eeb3a8b49b86-rovers1_ks99i.renamed-as.sat05-3971.cnf,1,0,0,0,,1,0,0,0
3728fe50d8038c639c2d9c84e04fe2b1-46bits_11.dimacs.cnf,4,4,5,5,,7,6,6,9
37d40a1092b58ad28285b9453872d211-DecompressReader_read_12.cnf,53,32,34,36,,22,106,11,32
385a678ba820d79c6fb5f497adaf32ec-grs-48-128.cnf,6,6,6,7,,9,11,10,9
385e2c7010a419a9bd47b9258c9d2903-tseitin_d3_n200.cnf,85,83,85,83,,89,55,71,93
38833d6a1ff6a56ef22bd2dc1e3fdde7-rbsat-v1150c84314gyes10.cnf,19,18,18,18,,28,35,26,37
38ca761a5808eace8bc8f1fcfdb5b5a8-multiplier_15bits__miter_20.cnf,17,19,18,17,,24,23,25,24
396245861b331d45e1345bd43fe352e2-asconhashv12_opt64_H8_M2-1yQCyA0j_m2_6.c.cnf,2,2,2,4,,2,7,29,3
3a7a64e1d6cf5ce969b2b05b5464f707-PRP_30_38.cnf,2,2,3,2,,4,10,3,4
3cff6c97a515aecfe46ba0f1256a3c11-shuffling-1-s1870372346-of-bench-sat04-423.used-as.sat04-562.cnf,1,2,2,2,,4,5,5,4
3e7dc7350195104b76b7d03ab5b0af8f-SC23_Timetable_C_490_E_50_Cl_33_D_6_T_50.cnf,14,14,14,14,,27,29,29,27
3f341c57c37d86350af5233b8e15e52e-19_2.cnf,17,18,18,18,,17,33,18,21
3f4174289e971950c290f27892169bc5-intervals607.cnf,43,40,40,42,,28,63,33,47
3ff114cc7bee4f39fa56a0325e605c2d-stb_588_138.apx_2_DC-ST.cnf,5,5,5,5,,7,14,7,8
4029fbae284eaf924b37b6f43d3a67fb-WCNF_from_fp_14.cnf,44,39,38,40,,30,85,27,42
40ae60a61929b6bfa2ac99ab4b9a0f7e-grs-96-192.cnf,7,8,8,8,,12,14,12,12
